starttime	seconds	ctime	dtime	ttime	wait
Thu Dec 22 21:18:36 2016	1482437916299538	1	10	11	9
Thu Dec 22 21:18:36 2016	1482437916302471	0	8	8	8
Thu Dec 22 21:18:36 2016	1482437916302471	1	9	10	5
Thu Dec 22 21:18:36 2016	1482437916305403	4	4	8	0
Thu Dec 22 21:18:36 2016	1482437916310292	0	5	5	4
Thu Dec 22 21:18:36 2016	1482437916311269	0	4	4	4
Thu Dec 22 21:18:36 2016	1482437916312246	0	5	5	2
Thu Dec 22 21:18:36 2016	1482437916313223	0	5	5	1
Thu Dec 22 21:18:36 2016	1482437916314201	0	5	5	0
Thu Dec 22 21:18:36 2016	1482437916316157	0	4	4	4
Thu Dec 22 21:18:36 2016	1482437916317135	0	4	4	2
Thu Dec 22 21:18:36 2016	1482437916318112	0	4	4	1
Thu Dec 22 21:18:36 2016	1482437916319089	0	5	5	0
Thu Dec 22 21:18:36 2016	1482437916320067	0	6	6	5
Thu Dec 22 21:18:36 2016	1482437916321044	0	6	6	4
Thu Dec 22 21:18:36 2016	1482437916322024	0	6	6	3
Thu Dec 22 21:18:36 2016	1482437916323000	1	5	6	1
Thu Dec 22 21:18:36 2016	1482437916324954	1	4	5	3
Thu Dec 22 21:18:36 2016	1482437916326911	0	4	4	2
Thu Dec 22 21:18:36 2016	1482437916327887	0	9	9	1
Thu Dec 22 21:18:36 2016	1482437916328866	0	9	9	0
Thu Dec 22 21:18:36 2016	1482437916329843	0	8	8	7
Thu Dec 22 21:18:36 2016	1482437916330820	0	9	9	7
Thu Dec 22 21:18:36 2016	1482437916331798	4	5	9	0
Thu Dec 22 21:18:36 2016	1482437916337663	0	3	3	0
Thu Dec 22 21:18:36 2016	1482437916338641	0	4	4	4
Thu Dec 22 21:18:36 2016	1482437916339618	0	5	5	2
Thu Dec 22 21:18:36 2016	1482437916340596	0	8	8	1
Thu Dec 22 21:18:36 2016	1482437916341574	0	8	8	1
Thu Dec 22 21:18:36 2016	1482437916342551	0	8	8	6
Thu Dec 22 21:18:36 2016	1482437916343529	1	6	7	5
Thu Dec 22 21:18:36 2016	1482437916349514	0	2	2	0
Thu Dec 22 21:18:36 2016	1482437916345011	4	3	7	1
Thu Dec 22 21:18:36 2016	1482437916350015	0	3	3	2
Thu Dec 22 21:18:36 2016	1482437916351016	0	3	3	1
Thu Dec 22 21:18:36 2016	1482437916351516	0	3	3	2
Thu Dec 22 21:18:36 2016	1482437916352516	0	3	3	2
Thu Dec 22 21:18:36 2016	1482437916353017	1	2	3	1
Thu Dec 22 21:18:36 2016	1482437916354018	0	2	2	2
Thu Dec 22 21:18:36 2016	1482437916354519	0	3	3	2
Thu Dec 22 21:18:36 2016	1482437916356019	0	2	2	2
Thu Dec 22 21:18:36 2016	1482437916356019	0	3	3	2
Thu Dec 22 21:18:36 2016	1482437916357019	0	2	2	2
Thu Dec 22 21:18:36 2016	1482437916357520	0	3	3	3
Thu Dec 22 21:18:36 2016	1482437916352017	0	11	11	2
Thu Dec 22 21:18:36 2016	1482437916358523	0	5	5	2
Thu Dec 22 21:18:36 2016	1482437916359021	0	6	6	4
Thu Dec 22 21:18:36 2016	1482437916359522	1	5	6	3
Thu Dec 22 21:18:36 2016	1482437916361022	2	3	5	2
Thu Dec 22 21:18:36 2016	1482437916363024	1	4	5	2
Thu Dec 22 21:18:36 2016	1482437916364025	1	4	5	3
Thu Dec 22 21:18:36 2016	1482437916365025	1	4	5	2
Thu Dec 22 21:18:36 2016	1482437916366026	0	4	4	3
Thu Dec 22 21:18:36 2016	1482437916367026	1	4	5	2
Thu Dec 22 21:18:36 2016	1482437916368026	1	4	5	3
Thu Dec 22 21:18:36 2016	1482437916369527	0	5	5	3
Thu Dec 22 21:18:36 2016	1482437916370028	0	5	5	3
Thu Dec 22 21:18:36 2016	1482437916370529	1	5	6	2
Thu Dec 22 21:18:36 2016	1482437916372531	0	5	5	3
Thu Dec 22 21:18:36 2016	1482437916374032	0	4	4	3
Thu Dec 22 21:18:36 2016	1482437916374532	0	4	4	2
Thu Dec 22 21:18:36 2016	1482437916375531	0	4	4	1
Thu Dec 22 21:18:36 2016	1482437916377033	0	3	3	3
Thu Dec 22 21:18:36 2016	1482437916377533	0	4	4	2
Thu Dec 22 21:18:36 2016	1482437916378534	0	4	4	1
Thu Dec 22 21:18:36 2016	1482437916379534	0	4	4	4
Thu Dec 22 21:18:36 2016	1482437916380034	0	5	5	3
Thu Dec 22 21:18:36 2016	1482437916381535	0	4	4	2
Thu Dec 22 21:18:36 2016	1482437916382537	0	5	5	1
Thu Dec 22 21:18:36 2016	1482437916383037	0	5	5	2
Thu Dec 22 21:18:36 2016	1482437916384538	0	5	5	3
Thu Dec 22 21:18:36 2016	1482437916385038	0	5	5	4
Thu Dec 22 21:18:36 2016	1482437916386039	1	4	5	2
Thu Dec 22 21:18:36 2016	1482437916388040	0	4	4	2
Thu Dec 22 21:18:36 2016	1482437916389041	0	4	4	3
Thu Dec 22 21:18:36 2016	1482437916389541	0	10	10	2
Thu Dec 22 21:18:36 2016	1482437916391042	0	10	10	2
Thu Dec 22 21:18:36 2016	1482437916392042	0	10	10	8
Thu Dec 22 21:18:36 2016	1482437916392543	1	10	11	9
Thu Dec 22 21:18:36 2016	1482437916393544	6	5	11	2
Thu Dec 22 21:18:36 2016	1482437916400049	0	5	5	3
Thu Dec 22 21:18:36 2016	1482437916402050	0	4	4	3
Thu Dec 22 21:18:36 2016	1482437916403050	1	3	4	2
Thu Dec 22 21:18:36 2016	1482437916404551	0	4	4	1
Thu Dec 22 21:18:36 2016	1482437916405051	0	4	4	2
Thu Dec 22 21:18:36 2016	1482437916406052	0	4	4	3
Thu Dec 22 21:18:36 2016	1482437916406554	0	5	5	3
Thu Dec 22 21:18:36 2016	1482437916407553	0	5	5	2
Thu Dec 22 21:18:36 2016	1482437916408554	0	5	5	2
Thu Dec 22 21:18:36 2016	1482437916409555	0	5	5	3
Thu Dec 22 21:18:36 2016	1482437916411055	0	4	4	3
Thu Dec 22 21:18:36 2016	1482437916412058	0	5	5	2
Thu Dec 22 21:18:36 2016	1482437916413557	0	4	4	1
Thu Dec 22 21:18:36 2016	1482437916414559	0	4	4	4
Thu Dec 22 21:18:36 2016	1482437916415058	0	5	5	3
Thu Dec 22 21:18:36 2016	1482437916416559	0	4	4	2
Thu Dec 22 21:18:36 2016	1482437916417059	0	4	4	1
Thu Dec 22 21:18:36 2016	1482437916418561	0	4	4	3
Thu Dec 22 21:18:36 2016	1482437916419561	0	4	4	2
Thu Dec 22 21:18:36 2016	1482437916420061	0	4	4	1
Thu Dec 22 21:18:36 2016	1482437916420561	1	3	4	1
Thu Dec 22 21:18:36 2016	1482437916421563	0	7	7	6
Thu Dec 22 21:18:36 2016	1482437916422564	0	8	8	5
Thu Dec 22 21:18:36 2016	1482437916424064	0	8	8	4
Thu Dec 22 21:18:36 2016	1482437916424564	0	9	9	3
Thu Dec 22 21:18:36 2016	1482437916425566	2	6	8	0
Thu Dec 22 21:18:36 2016	1482437916429067	0	8	8	6
Thu Dec 22 21:18:36 2016	1482437916430568	0	7	7	5
Thu Dec 22 21:18:36 2016	1482437916432069	1	5	6	4
Thu Dec 22 21:18:36 2016	1482437916433570	0	6	6	3
Thu Dec 22 21:18:36 2016	1482437916434571	2	4	6	3
Thu Dec 22 21:18:36 2016	1482437916437573	0	4	4	2
Thu Dec 22 21:18:36 2016	1482437916438073	0	4	4	2
Thu Dec 22 21:18:36 2016	1482437916438575	0	4	4	1
Thu Dec 22 21:18:36 2016	1482437916440075	0	4	4	3
