starttime	seconds	ctime	dtime	ttime	wait
Thu Dec 22 21:15:07 2016	1482437707512457	0	4	4	3
Thu Dec 22 21:15:07 2016	1482437707513436	0	4	4	4
Thu Dec 22 21:15:07 2016	1482437707514412	0	4	4	3
Thu Dec 22 21:15:07 2016	1482437707514412	1	5	6	3
Thu Dec 22 21:15:07 2016	1482437707516367	0	5	5	4
Thu Dec 22 21:15:07 2016	1482437707517346	0	6	6	4
Thu Dec 22 21:15:07 2016	1482437707518323	0	6	6	5
Thu Dec 22 21:15:07 2016	1482437707519300	0	5	5	4
Thu Dec 22 21:15:07 2016	1482437707521256	0	4	4	3
Thu Dec 22 21:15:07 2016	1482437707522233	0	5	5	4
Thu Dec 22 21:15:07 2016	1482437707524189	0	5	5	4
Thu Dec 22 21:15:07 2016	1482437707525167	0	4	4	4
Thu Dec 22 21:15:07 2016	1482437707526143	0	5	5	5
Thu Dec 22 21:15:07 2016	1482437707527121	0	5	5	4
Thu Dec 22 21:15:07 2016	1482437707528098	0	5	5	3
Thu Dec 22 21:15:07 2016	1482437707530054	0	4	4	4
Thu Dec 22 21:15:07 2016	1482437707531032	0	3	3	2
Thu Dec 22 21:15:07 2016	1482437707532009	0	4	4	1
Thu Dec 22 21:15:07 2016	1482437707532986	0	15	15	0
Thu Dec 22 21:15:07 2016	1482437707533964	0	15	15	13
Thu Dec 22 21:15:07 2016	1482437707534942	0	19	19	14
Thu Dec 22 21:15:07 2016	1482437707534942	0	21	21	12
Thu Dec 22 21:15:07 2016	1482437707536896	11	9	20	8
Thu Dec 22 21:15:07 2016	1482437707548627	0	9	9	8
Thu Dec 22 21:15:07 2016	1482437707549607	4	5	9	4
Thu Dec 22 21:15:07 2016	1482437707554493	1	4	5	4
Thu Dec 22 21:15:07 2016	1482437707555975	1	4	5	2
Thu Dec 22 21:15:07 2016	1482437707557478	0	5	5	5
Thu Dec 22 21:15:07 2016	1482437707558477	0	5	5	5
Thu Dec 22 21:15:07 2016	1482437707559477	0	5	5	4
Thu Dec 22 21:15:07 2016	1482437707560478	1	4	5	4
Thu Dec 22 21:15:07 2016	1482437707561979	1	4	5	3
Thu Dec 22 21:15:07 2016	1482437707562980	1	4	5	2
Thu Dec 22 21:15:07 2016	1482437707564481	0	4	4	3
Thu Dec 22 21:15:07 2016	1482437707564982	1	3	4	3
Thu Dec 22 21:15:07 2016	1482437707565983	0	4	4	3
Thu Dec 22 21:15:07 2016	1482437707566983	1	2	3	2
Thu Dec 22 21:15:07 2016	1482437707567983	0	3	3	2
Thu Dec 22 21:15:07 2016	1482437707568483	1	3	4	3
Thu Dec 22 21:15:07 2016	1482437707569484	0	3	3	2
Thu Dec 22 21:15:07 2016	1482437707570484	1	2	3	2
Thu Dec 22 21:15:07 2016	1482437707571485	1	2	3	2
Thu Dec 22 21:15:07 2016	1482437707572489	0	2	2	1
Thu Dec 22 21:15:07 2016	1482437707573486	0	2	2	2
Thu Dec 22 21:15:07 2016	1482437707573987	0	2	2	2
Thu Dec 22 21:15:07 2016	1482437707569984	0	7	7	6
Thu Dec 22 21:15:07 2016	1482437707574489	0	4	4	3
Thu Dec 22 21:15:07 2016	1482437707575989	0	3	3	2
Thu Dec 22 21:15:07 2016	1482437707575488	0	4	4	3
Thu Dec 22 21:15:07 2016	1482437707576489	0	4	4	3
Thu Dec 22 21:15:07 2016	1482437707577489	0	3	3	3
Thu Dec 22 21:15:07 2016	1482437707578490	0	3	3	2
Thu Dec 22 21:15:07 2016	1482437707578990	1	3	4	3
Thu Dec 22 21:15:07 2016	1482437707579991	0	4	4	3
Thu Dec 22 21:15:07 2016	1482437707580491	0	4	4	3
Thu Dec 22 21:15:07 2016	1482437707581492	0	3	3	2
Thu Dec 22 21:15:07 2016	1482437707581992	1	3	4	3
Thu Dec 22 21:15:07 2016	1482437707583994	0	2	2	2
Thu Dec 22 21:15:07 2016	1482437707582994	0	4	4	2
Thu Dec 22 21:15:07 2016	1482437707584494	0	3	3	3
Thu Dec 22 21:15:07 2016	1482437707585494	0	3	3	3
Thu Dec 22 21:15:07 2016	1482437707586996	0	2	2	1
Thu Dec 22 21:15:07 2016	1482437707587499	0	3	3	1
Thu Dec 22 21:15:07 2016	1482437707587997	0	3	3	2
Thu Dec 22 21:15:07 2016	1482437707585996	0	6	6	3
Thu Dec 22 21:15:07 2016	1482437707588999	0	3	3	2
Thu Dec 22 21:15:07 2016	1482437707589999	0	3	3	1
Thu Dec 22 21:15:07 2016	1482437707590500	0	3	3	2
Thu Dec 22 21:15:07 2016	1482437707591499	0	3	3	2
Thu Dec 22 21:15:07 2016	1482437707592499	0	3	3	1
Thu Dec 22 21:15:07 2016	1482437707593001	0	3	3	2
Thu Dec 22 21:15:07 2016	1482437707594000	0	3	3	1
Thu Dec 22 21:15:07 2016	1482437707591999	0	6	6	4
Thu Dec 22 21:15:07 2016	1482437707595001	0	3	3	3
Thu Dec 22 21:15:07 2016	1482437707596502	0	3	3	1
Thu Dec 22 21:15:07 2016	1482437707595503	0	4	4	3
Thu Dec 22 21:15:07 2016	1482437707597004	0	4	4	3
Thu Dec 22 21:15:07 2016	1482437707598003	0	3	3	2
Thu Dec 22 21:15:07 2016	1482437707599004	0	3	3	3
Thu Dec 22 21:15:07 2016	1482437707599504	0	3	3	3
Thu Dec 22 21:15:07 2016	1482437707600505	0	3	3	1
Thu Dec 22 21:15:07 2016	1482437707601008	0	4	4	1
Thu Dec 22 21:15:07 2016	1482437707601505	1	3	4	3
Thu Dec 22 21:15:07 2016	1482437707602507	0	3	3	2
Thu Dec 22 21:15:07 2016	1482437707603507	0	3	3	1
Thu Dec 22 21:15:07 2016	1482437707604507	0	3	3	2
Thu Dec 22 21:15:07 2016	1482437707605009	0	3	3	2
Thu Dec 22 21:15:07 2016	1482437707605509	0	3	3	1
Thu Dec 22 21:15:07 2016	1482437707606509	0	4	4	3
Thu Dec 22 21:15:07 2016	1482437707607009	0	4	4	3
Thu Dec 22 21:15:07 2016	1482437707607509	0	4	4	4
Thu Dec 22 21:15:07 2016	1482437707608510	0	4	4	4
Thu Dec 22 21:15:07 2016	1482437707609012	0	5	5	4
Thu Dec 22 21:15:07 2016	1482437707611011	0	3	3	3
Thu Dec 22 21:15:07 2016	1482437707611513	0	4	4	3
Thu Dec 22 21:15:07 2016	1482437707612012	1	3	4	2
Thu Dec 22 21:15:07 2016	1482437707613014	0	4	4	2
